Common Name,name,ra (J2000 hrs),radeg (J2000 deg),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),distance (pc),rv (km/s),vmag (Johnson V),Sloan I band,sptype,priority,vsini (km/s),exptime (sec),maxobs,seplimit,pmodeperiod(min),Amp P-mode (cm/s),fauexptime (sec),acquisition_offset_north (arcsec),acquisition_offset_east (arcsec),iodine,active,Howard (2010),finder,MEarth Image,MEarth Mags,Companion ,Type and Seperation,Planets,Mass,Period,Paper,comment
DP Dra,Gl487,12.8174418,192.261627,66.110199,0,0,0,8000.0,0,10.94,9.2,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=192.261627&d=66.110199&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,yes,"K2.5, seperation 7""",,,,,
GJ 3861,GJ3861,14.61471967,219.220795,58.348679,0,0,0,8000.0,0,12.14,9.1,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=219.220795&d=58.348679&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
OT Ser,GJ9520,15.36470233,230.470535,20.977737,0,0,0,8000.0,0,10.66,8.4,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=230.470535&d=20.977737&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
Ross 867,Gl669B,17.9634694,269.4520417,4.6933642,-802.803,10362.542,547.4506,1.8,-110.51,12.47,8.8,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=269.452041&d=4.6933642&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,nearby,"unkown ~30""",,,,,
Barnard's star,GJ699,18.6053417,279.080125,13.6073256,179.139,278.913,83.0284,12.0,-38,9.54,7.9,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=279.0801255&d=13.6073256&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ1757+0441_tel01_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ1757+0441_tel01_2011-2013.txt,no,,,,,,
G 141-21,GJ4065,18.6860417,280.290625,24.7873414,505.305,87.056,100.7234,9.9,-9,12.42,9.2,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=280.2906255&d=24.7873414&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ1836+1336_tel05_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ1836+1336_tel05_2011-2013.txt,?,check MEarth image,,,,,
GJ 1230 A,GJ1230 A,19.8340556,297.5108333,32.5838983,231,74,0,9.9,-9.087,12.52,8.9,m5,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=297.510834&d=32.5838983&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ1841+2447S_tel04_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ1841+2447S_tel04_2011-2013.txt,?,,,,,,
LHS 3489,GJ4124,20.4967528,307.4512917,9.6890528,669.342,101.33,133.8113,7.5,-26,13.54,9.2,m5,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=307.451292&d=9.6890528&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
HU Del,Gl791.2,21.4935583,322.403375,17.6432942,1007.017,378.777,147.6126,6.8,-25,12.96,9.4,m5,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=322.4033745&d=17.6432942&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ2029+0941_tel02_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ2029+0941_tel02_2011-2013.txt,no,,,,,,
GJ 829,Gl829,22.7804806,341.7072083,44.3339922,-706.152,-458.775,198.0112,5.1,0.4,10.33,9.1,m3,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=341.707209&d=44.3339922&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,listed as a double or multiple in simbad,,,,,,
EV Lac,Gl873,23.29115,349.36725,19.6130781,349.121,-121.038,60.6055,16.5,4.4,10.29,8.9,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=349.36725&d=19.6130781&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,two possible companions,,?,, ,http://arxiv.org/pdf/1007.4315v1.pdf,
