name,ra (J2000 hrs),radeg (J2000 deg),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),distance (pc),rv (km/s),vmag (Johnson V),sptype,bad_priority,priority,vsini (km/s),exptime (sec),maxobs,seplimit,pmodeperiod(min),Amp P-mode (cm/s),fauexptime (sec),acquisition_offset_north (arcsec),acquisition_offset_east (arcsec),iodine,active,dtactive,tc,period,t14,Howard (2010),finder,mstar,rstar,rpearth,mpearth,k,comment
TOI2180,18.52958,277.9436,56.65085,-10.536,-40.204,8.5412,117.0796,-21.26,9.162,,0.01,1,,1800,3,60,,,15,0,0,1,1,0,2458831,0,31.414,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=277.9437&d=56.65085&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,5.343629,25.04255,Infinity,"Infinity m/s RV semi-amplitude. disposition=STPC. ""4000 ppm single transit; CTOI from Planet Hunters; SG1 has chased a wide window for a second transit predicted by APF RVs. Nothing yet."""
TOI2183,18.899313,283.4897,37.380636,-15.686,43.795,9.4652,105.65017,0,8.609,,2.2757695,0.1,,1800,3,60,,,15,0.7488,-0.374743,1,1,0,2458684.086,6.50531,5.563,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=283.489695&d=37.380636&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,6.5231044,35.134842,12.034742,12.034742 m/s RV semi-amplitude
TOI2263,15.86408,237.9611,83.11054,-149.252,79.942,9.9809,100.1914,-10.99,10.349,,0.01,0.0005,,1800,3,60,,,15,0,0,1,1,0,2458708,0,14.92359,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=237.9612&d=83.11054&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,2.06304,4.976594,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. possible single transit candidate at TBJD~1710
TOI2270,16.29215,244.3823,61.36855,118.745,-71.193,10.5857,94.46706,6.45,8.19,,0.01,0.5,,1800,3,60,,,14.96,0,0,1,1,0,2458963,0,4.628871,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=244.38225&d=61.36855&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,1.76544,3.820043,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. Bright star; long orbital period; single transit
TOI2321,13.11576,196.7364,16.54945,-3.822,-25.162,8.2678,120.9512,-13.27,10.349,,0.01,0.9,,1800,3,60,,,15,0,0,1,1,0,2458945,0,3.076075,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=196.7364&d=16.54945&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,3.304163,11.0719,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. CTOI from Planet Hunters
TOI2456,5.371991,80.57987,10.57531,44.861,-61.173,14.4361,69.27079,21.11,10.325,,0.01,1,,1800,3,60,,,15,0,0,1,1,0,2459179,0,1.852231,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=80.579865&d=10.57531&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,3.809578,14.09847,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. potential single with transit at about 2179 days
TOI4465,18.40894,276.134,15.8417,-54.422,43.693,8.2264,121.5599,-49.42,10.427,,0.01,0.9,,1800,3,60,,,15,0,0,1,1,0,2459395,0,12.002,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=276.1341&d=15.8417&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,12.68291,1709.342,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. radius consistent with planet
TOI4597,4.91371,73.70565,22.14649,-25.384,-24.687,7.9601,125.6266,0,8.01,,5.84771,5,140,1800,3,60,,,12.68,0,0,1,0,0,2459523,4.66638,2.526,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=73.70565&d=22.14649&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,9.060564,61.37826,23.48478,23.484781 m/s RV semi-amplitude. disposition=PC. Hot star (teff=7700) (fast rotator?) 140 km/s -- DT target?
TOI4631,9.168318,137.5248,75.61088,52.96,-9.187,16.023,62.41029,-9.1,9.39,,0.01,0.8,,1800,3,60,,,15,0,0,1,1,0,2458706,0,4.25995,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=137.52477&d=75.61088&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,2.665774,7.68994,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. single transit; potential L1 planet
TOI4645,15.38071,230.7106,-59.8354,-5.206,-3.484,1.3824,723.3796,0,10.499,,0.001678,0.8,,1800,3,60,,,15,0,0,1,1,0,2459383,5.087267,8.374,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=230.71065&d=-59.8354&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,7.557033,45.1047,16.76897,16.768972 m/s RV semi-amplitude. disposition=PC. inflated hot Jupiter
TIC159159904,13.28361523,199.2542285,57.28319375,-109.72,125.225,9.1554,109.2251567,-7.56,9.2,,100,5,,1800,3,60,,,15,0,0,1,0,0,2458918.61,0,14.6,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=199.254228495469&d=57.28319374902&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.248,1.19798,3.044085822,,,Paul Dalba's target 
TIC256429408,21.66688446,325.0032669,69.08640202,-1.568,36.931,7.8658,127.1326502,0,8.9,,100,5,,1800,3,60,,,15,0,0,1,0,0,2458962.16,0,17.1,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=325.00326691245&d=69.0864020204743&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.321,1.56674,6.42063161,,,Paul Dalba's target 
TOI1546,0.079788346,1.1968252,41.594006,-23.294,-29.277,4.7364,211.13082,0,10.425,,0.055302239,0.00276511195,,1800,3,60,,,5,0,0,1,1,0,2458764.833,1.13345,1.894,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=1.19682519&d=41.594006&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.147,1.516,3.6603947,13.173978,7.3736507,7.3736507 m/s RV semi-amplitude. disposition=PC. Potential level 1; some depth-aperture correlation
TOI1527,0.39769742,5.9654613,51.468301,-0.388,-1.885,2.0462,488.71078,0,9.982,,0.56727578,0.028363789,,1800,3,60,,,5,0,0,1,1,0,2458768.236,5.06203,3.683,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=5.9654613&d=51.468301&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,5.8739423,29.406719,10.951277,"10.951277 m/s RV semi-amplitude. disposition=PC. ""Karen sees a hint in FFIs that transit may be on 202417951, but SG1 rules that out."""
TOI1528,0.88146813,13.222022,60.891685,0,0,0,8000,0,10.049,,0.87258036,0.043629018,,1800,3,60,,,5,0,0,1,1,0,2458772.167,9.93856,3.92,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=13.22202195&d=60.891685&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,9.3767621,65.059051,19.347671,"19.347671 m/s RV semi-amplitude. disposition=VPC. ""No stellar information; SG1 detects event on target"""
