PPM,DM,vmag,sptype,ra (hrs),dec (deg),pmra (mas/yr),pmdec (mas/yr),ura (mas),udec (mas),upmra (mas/yr),upmdec (mas/yr)
4739,BD-15 3471,6.35,G3III,12.46372222,-16.63194444,-18,3,0,0,0,0
6934,CD-4312600,5.72,K2III,18.53227778,-43.50777778,-5,-19,0,0,0,0
5746,BD-20 4246,6.22,A5m,15.51008333,-20.72833333,14,-19,0,0,0,0
3821,BD+67  602,5.94,K5,9.65775,67.27222222,-26,-40,0,0,0,0
2159,CD-48 2124,6.58,G6V,6.079694444,-48.45861111,-92,-38,0,0,0,0
5264,CP-59 5365,0.61,B1III,14.06372222,-60.37305556,-32,-19,0,0,0,0
2535,CD-32 3404,3.96,B1.5IVne,6.830694444,-32.50861111,-7,4,0,0,0,0
6832,CD-2814407,6.19,A5/7V,18.29,-28.6525,4,-27,0,0,0,0
939,BD+07  478,6.28,G9III,3.144083333,8.470833333,-15,69,0,0,0,0
5044,BD-04 3469,5.89,K3III,13.38858333,-4.924444444,-19,-15,0,0,0,0
4538,CP-61 2677,5.7,A2Iab,11.84088889,-62.64944444,-12,-2,0,0,0,0
145,CD-48  121,5.51,F6V,0.59475,-48.00083333,45,-104,0,0,0,0
4051,BD+20 2466,4.79,F6IV,10.32891667,19.47083333,-234,-214,0,0,0,0
3504,BD-20 2693,6.47,A7Vn,8.829138889,-21.04861111,6,-64,0,0,0,0
8753,CD-2317706,6.28,A5V,23.02305556,-22.79083333,26,-27,0,0,0,0
3645,BD+62 1058,5.13,F9V,9.239055556,61.42333333,-6,-30,0,0,0,0
256,BD+23  126,6.2,M4IIIab,0.92075,24.55694444,20,-15,0,0,0,0
2946,CD-26 4707,4.62,B5IVn,7.647166667,-26.80361111,-29,28,0,0,0,0
2601,CD-35 3225,6.29,K2III,6.946027778,-35.34166667,-1,-3,0,0,0,0
8760,BD-07 5913,6.15,M2III,23.04238889,-6.574166667,-4,-37,0,0,0,0
3152,CD-36 4120,6.34,M1III,8.035055556,-37.05055556,16,-3,0,0,0,0
5731,BD+37 2637,6.5,G1V,15.40858333,37.34777778,-144,94,0,0,0,0
3600,BD+49 1801,5.95,F6II-III,9.090027778,48.53027778,-12,-16,0,0,0,0
6039,CD-2412623,6.41,B5V,16.22936111,-24.42194444,13,-13,0,0,0,0
2556,CP-80  196,5.64,A5III,6.667416667,-80.81361111,-16,55,0,0,0,0
6686,BD+00 3816,5.97,A3V,17.95119444,0.066388889,28,-16,0,0,0,0
4775,BD-18 3416,6.26,F2V,12.55622222,-19.79194444,-13,-2,0,0,0,0
4263,CP-61 1960,5.93,K4III,10.90822222,-61.82666667,3,-4,0,0,0,0
2170,BD+23 1226,5.75,B2.5Ib,6.162222222,23.11333333,7,-1,0,0,0,0
651,BD+47  590,6.33,G9III-IV,2.266083333,47.81138889,62,-71,0,0,0,0
2704,BD-00 1634,5.45,A8Vn-F3Vn,7.189888889,-0.301944444,-31,-11,0,0,0,0
332,BD+46  275,4.25,B7Ve,1.158388889,47.24194444,10,-9,0,0,0,0
887,BD+51  665,5.28,B7V,3.0145,52.35166667,28,-26,0,0,0,0
2314,BD-03 1425,6.35,G9III,6.42975,-3.889166667,-20,-5,0,0,0,0
6918,CD-3812824,6.63,B8,18.488,-38.85111111,-4,-7,0,0,0,0
4094,BD+20 2487,6.15,K0,10.45013889,19.36444444,-64,-12,0,0,0,0
2602,BD+26 1411,6.4,B8III,6.991083333,25.91416667,-11,-8,0,0,0,0
6500,BD+20 3481,5.54,B5V,17.44697222,20.08083333,1,15,0,0,0,0
