Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
03:17:21,HR4828,1800.0,20220507.HR4828.0015.fits,on,on,on,on,17,6.67,8.5
03:56:22,TOI2123,1800.0,20220507.TOI2123.0016.fits,on,on,on,on,17,6.67,8.5
04:39:53,TOI2123,1800.0,20220507.TOI2123.0017.fits,on,on,on,on,17,6.67,8.5
05:19:39,TOI2123,1800.0,20220507.TOI2123.0018.fits,on,on,on,on,17,6.67,8.5
05:58:24,TIC349488688,1800.0,20220507.TIC349488688.0019.fits,on,on,on,on,17,6.67,8.5
06:42:51,TOI1842,1800.0,20220507.TOI1842.0020.fits,on,on,on,on,17,6.67,8.5
07:20:35,TOI1150_01,1200.0,20220507.TOI1150_01.0021.fits,on,on,on,on,17,6.67,8.5
07:41:15,TOI1150_01,1200.0,20220507.TOI1150_01.0022.fits,on,on,on,on,17,6.67,8.5
08:01:51,TOI1150_01,1200.0,20220507.TOI1150_01.0023.fits,on,on,on,on,17,6.67,8.5
08:22:26,TOI1150_01,1200.0,20220507.TOI1150_01.0024.fits,on,on,on,on,17,6.67,8.5
08:43:00,TOI1150_01,1200.0,20220507.TOI1150_01.0025.fits,on,on,on,on,17,6.67,8.5
09:08:57,TOI1150_01,1200.0,20220507.TOI1150_01.0026.fits,on,on,on,on,17,6.67,8.5
09:29:33,TOI1150_01,1200.0,20220507.TOI1150_01.0027.fits,on,on,on,on,17,6.67,8.5
09:50:10,TOI1150_01,1200.0,20220507.TOI1150_01.0028.fits,on,on,on,on,17,6.67,8.5
10:10:45,TOI1150_01,1200.0,20220507.TOI1150_01.0029.fits,on,on,on,on,17,6.67,8.5
10:31:19,TOI1150_01,1200.0,20220507.TOI1150_01.0030.fits,on,on,on,on,17,6.67,8.5
10:57:57,TOI1150_01,1200.0,20220507.TOI1150_01.0031.fits,on,on,on,on,17,6.67,8.5
