Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
04:30:01,TIC349488688,1800.0,20220614.TIC349488688.0014.fits,on,on,on,on,9,4.41,7.72
05:14:52,TOI2123,1800.0,20220614.TOI2123.0015.fits,on,on,on,on,9,4.41,7.72
05:59:31,TOI2123,1800.0,20220614.TOI2123.0016.fits,on,on,on,on,9,4.41,7.72
06:43:10,TOI2123,1800.0,20220614.TOI2123.0017.fits,on,on,on,on,9,4.41,7.72
07:26:47,TOI1355,1800.0,20220614.TOI1355.0018.fits,on,on,on,on,9,4.41,7.72
08:12:06,TIC349488688,1800.0,20220614.TIC349488688.0019.fits,on,on,on,on,9,4.41,7.72
08:56:59,TOI1355,1800.0,20220614.TOI1355.0020.fits,on,on,on,on,9,4.41,7.72
09:41:39,TOI1355,1800.0,20220614.TOI1355.0021.fits,on,on,on,on,9,4.41,7.72
10:26:35,HR8597,1463.0,20220614.HR8597.0022.fits,on,on,on,on,9,4.41,7.72
