Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:44:11,TOI1608_01,1200.0,n20230110.TOI1608_01.0014.fits,on,on,on,on,19,8.47,11.89
02:04:47,TOI1608_01,1200.0,n20230110.TOI1608_01.0015.fits,on,on,on,on,19,8.47,11.89
02:25:21,TOI1608_01,1200.0,n20230110.TOI1608_01.0016.fits,on,on,on,on,19,8.47,11.89
02:45:54,TOI1608_01,1200.0,n20230110.TOI1608_01.0017.fits,on,on,on,on,19,8.47,11.89
03:06:29,TOI1608_01,1200.0,n20230110.TOI1608_01.0018.fits,on,on,on,on,19,8.47,11.89
03:54:30,TOI1588,1800.0,n20230110.TOI1588.0019.fits,on,on,on,on,19,8.47,11.89
04:34:07,TOI1588,1800.0,n20230110.TOI1588.0020.fits,on,on,on,on,19,8.47,11.89
05:13:44,TOI1588,1800.0,n20230110.TOI1588.0021.fits,on,on,on,on,19,8.47,11.89
05:54:18,TOI2456,1800.0,n20230110.TOI2456.0022.fits,on,on,on,on,19,8.47,11.89
06:34:42,TOI2456,1800.0,n20230110.TOI2456.0023.fits,on,on,on,on,19,8.47,11.89
07:17:36,TOI2456,1800.0,n20230110.TOI2456.0024.fits,on,on,on,on,19,8.47,11.89
07:57:46,TOI1012,1800.0,n20230110.TOI1012.0025.fits,on,on,on,on,19,8.47,11.89
08:40:57,TOI1012,1800.0,n20230110.TOI1012.0026.fits,on,on,on,on,19,8.47,11.89
09:25:37,TOI1012,1800.0,n20230110.TOI1012.0027.fits,on,on,on,on,19,8.47,11.89
10:07:45,HR3799,1800.0,n20230110.HR3799.0028.fits,on,on,on,on,19,8.47,11.89
10:52:44,TOI1842,1800.0,n20230110.TOI1842.0029.fits,on,on,on,on,19,8.47,11.89
11:37:31,TOI1842,1800.0,n20230110.TOI1842.0030.fits,on,on,on,on,19,8.47,11.89
12:22:12,TOI1842,1800.0,n20230110.TOI1842.0031.fits,on,on,on,on,19,8.47,11.89
13:00:12,HR5511,1109.0,n20230110.HR5511.0032.fits,on,on,on,on,19,8.47,11.89
