Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
08:32:53,HR2209,1800.0,20220111.HR2209.0018.fits,on,on,0,on,6,3.0,11.88
09:58:51,TOI1842,1800.0,20220111.TOI1842.0019.fits,on,on,0,on,6,3.0,11.88
10:43:24,TOI1842,1800.0,20220111.TOI1842.0020.fits,on,on,0,on,6,3.0,11.88
11:27:58,TOI1842,1800.0,20220111.TOI1842.0021.fits,on,on,0,on,6,3.0,11.88
12:12:40,TIC349488688,1800.0,20220111.TIC349488688.0022.fits,on,on,0,on,6,3.0,11.88
12:57:18,TOI2123,1800.0,20220111.TOI2123.0023.fits,on,on,0,on,6,3.0,11.88
