Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:42:40,TOI1408,1800.0,20221030.TOI1408.0014.fits,on,on,on,on,22,8.5,11.23
02:25:18,TOI1408,1800.0,20221030.TOI1408.0015.fits,on,on,on,on,22,8.5,11.23
03:05:17,TOI1608_01,1200.0,20221030.TOI1608_01.0016.fits,on,on,on,on,22,8.5,11.23
03:25:52,TOI1608_01,1200.0,20221030.TOI1608_01.0017.fits,on,on,on,on,22,8.5,11.23
03:46:35,TOI1608_01,1200.0,20221030.TOI1608_01.0018.fits,on,on,on,on,22,8.5,11.23
04:07:10,TOI1608_01,1200.0,20221030.TOI1608_01.0019.fits,on,on,on,on,22,8.5,11.23
04:27:47,TOI1608_01,1200.0,20221030.TOI1608_01.0020.fits,on,on,on,on,22,8.5,11.23
04:55:27,TOI1608_01,1200.0,20221030.TOI1608_01.0021.fits,on,on,on,on,22,8.5,11.23
05:16:04,TOI1608_01,1200.0,20221030.TOI1608_01.0022.fits,on,on,on,on,22,8.5,11.23
05:36:39,TOI1608_01,1200.0,20221030.TOI1608_01.0023.fits,on,on,on,on,22,8.5,11.23
05:57:16,TOI1608_01,1200.0,20221030.TOI1608_01.0024.fits,on,on,on,on,22,8.5,11.23
06:17:51,TOI1608_01,1200.0,20221030.TOI1608_01.0025.fits,on,on,on,on,22,8.5,11.23
06:46:55,TOI1608_01,1200.0,20221030.TOI1608_01.0026.fits,on,on,on,on,22,8.5,11.23
07:07:29,TOI1608_01,1200.0,20221030.TOI1608_01.0027.fits,on,on,on,on,22,8.5,11.23
07:28:04,TOI1608_01,1200.0,20221030.TOI1608_01.0028.fits,on,on,on,on,22,8.5,11.23
07:48:39,TOI1608_01,1200.0,20221030.TOI1608_01.0029.fits,on,on,on,on,22,8.5,11.23
08:09:13,TOI1608_01,1200.0,20221030.TOI1608_01.0030.fits,on,on,on,on,22,8.5,11.23
08:57:48,TOI1408,1800.0,20221030.TOI1408.0031.fits,on,on,on,on,22,8.5,11.23
09:39:24,TOI1588,1800.0,20221030.TOI1588.0032.fits,on,on,on,on,22,8.5,11.23
10:20:27,TOI1588,1800.0,20221030.TOI1588.0033.fits,on,on,on,on,22,8.5,11.23
11:05:07,TOI1588,1800.0,20221030.TOI1588.0034.fits,on,on,on,on,22,8.5,11.23
11:45:27,HR2209,1800.0,20221030.HR2209.0035.fits,on,on,on,on,22,8.5,11.23
