Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:57:27,TOI1588,1800.0,n20230122.TOI1588.0015.fits,on,on,on,on,17,8.31,11.71
02:34:49,TOI1588,1800.0,n20230122.TOI1588.0016.fits,on,on,on,on,17,8.31,11.71
03:19:41,TOI1588,1800.0,n20230122.TOI1588.0017.fits,on,on,on,on,17,8.31,11.71
04:00:33,TOI2456,1800.0,n20230122.TOI2456.0018.fits,on,on,on,on,17,8.31,11.71
04:40:59,TOI2456,1800.0,n20230122.TOI2456.0019.fits,on,on,on,on,17,8.31,11.71
05:22:32,TOI2456,1800.0,n20230122.TOI2456.0020.fits,on,on,on,on,17,8.31,11.71
06:02:59,TOI1012,1800.0,n20230122.TOI1012.0021.fits,on,on,on,on,17,8.31,11.71
06:43:11,TOI1012,1800.0,n20230122.TOI1012.0022.fits,on,on,on,on,17,8.31,11.71
07:23:41,TOI1012,1800.0,n20230122.TOI1012.0023.fits,on,on,on,on,17,8.31,11.71
08:03:55,TOI1012,1800.0,n20230122.TOI1012.0024.fits,on,on,on,on,17,8.31,11.71
08:47:33,HR3799,1800.0,n20230122.HR3799.0025.fits,on,on,on,on,17,8.31,11.71
09:28:11,TOI1842,1800.0,n20230122.TOI1842.0026.fits,on,on,on,on,17,8.31,11.71
10:12:03,TOI1842,1800.0,n20230122.TOI1842.0027.fits,on,on,on,on,17,8.31,11.71
10:52:56,TOI1842,1800.0,n20230122.TOI1842.0028.fits,on,on,on,on,17,8.31,11.71
11:33:22,TOI2065,1800.0,n20230122.TOI2065.0029.fits,on,on,on,on,17,8.31,11.71
12:17:59,TOI2065,1800.0,n20230122.TOI2065.0030.fits,on,on,on,on,17,8.31,11.71
12:56:14,HR5511,1109.0,n20230122.HR5511.0031.fits,on,on,on,on,17,8.31,11.71
