Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:24:22,TOI1608_01,1200.0,20220225.TOI1608_01.0001.fits,on,on,on,0,18,7.33,10.86
02:44:56,TOI1608_01,1200.0,20220225.TOI1608_01.0002.fits,on,on,on,0,18,7.33,10.86
03:05:30,TOI1608_01,1200.0,20220225.TOI1608_01.0003.fits,on,on,on,0,18,7.33,10.86
03:26:06,TOI1608_01,1200.0,20220225.TOI1608_01.0004.fits,on,on,on,0,18,7.33,10.86
03:46:42,TOI1608_01,1200.0,20220225.TOI1608_01.0005.fits,on,on,on,0,18,7.33,10.86
04:14:36,TOI1608_01,1200.0,20220225.TOI1608_01.0006.fits,on,on,on,0,18,7.33,10.86
04:35:10,TOI1608_01,1200.0,20220225.TOI1608_01.0007.fits,on,on,on,0,18,7.33,10.86
04:55:44,TOI1608_01,1200.0,20220225.TOI1608_01.0008.fits,on,on,on,0,18,7.33,10.86
05:16:18,TOI1608_01,1200.0,20220225.TOI1608_01.0009.fits,on,on,on,0,18,7.33,10.86
05:36:53,TOI1608_01,1200.0,20220225.TOI1608_01.0010.fits,on,on,on,0,18,7.33,10.86
06:15:03,HR3799,1800.0,20220225.HR3799.0011.fits,on,on,on,0,18,7.33,10.86
06:55:47,TOI1842,1800.0,20220225.TOI1842.0012.fits,on,on,on,0,18,7.33,10.86
07:33:29,TOI1842,1800.0,20220225.TOI1842.0013.fits,on,on,on,0,18,7.33,10.86
08:12:26,TOI1842,1800.0,20220225.TOI1842.0014.fits,on,on,on,0,18,7.33,10.86
08:50:50,TOI2123,1800.0,20220225.TOI2123.0015.fits,on,on,on,0,18,7.33,10.86
10:08:00,TIC349488688,1800.0,20220225.TIC349488688.0016.fits,on,on,on,0,18,7.33,10.86
10:58:22,TOI1842,1800.0,20220225.TOI1842.0017.fits,on,on,on,0,18,7.33,10.86
11:44:11,TOI2123,1800.0,20220225.TOI2123.0018.fits,on,on,on,0,18,7.33,10.86
