Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:43:59,TOI1518,1800.0,20220105.TOI1518.0015.fits,on,on,on,on,14,7.0,11.95
02:28:34,TOI1518,1800.0,20220105.TOI1518.0016.fits,on,on,on,on,14,7.0,11.95
03:13:07,TOI1518,1800.0,20220105.TOI1518.0017.fits,on,on,on,on,14,7.0,11.95
03:55:18,TOI1355,1800.0,20220105.TOI1355.0018.fits,on,on,on,on,14,7.0,11.95
04:39:56,TOI1355,1800.0,20220105.TOI1355.0019.fits,on,on,on,on,14,7.0,11.95
05:24:28,TOI1355,1800.0,20220105.TOI1355.0020.fits,on,on,on,on,14,7.0,11.95
06:09:30,HR2209,1800.0,20220105.HR2209.0021.fits,on,on,on,on,14,7.0,11.95
06:54:45,HD16160,1800.0,20220105.HD16160.0022.fits,on,on,on,on,14,7.0,11.95
09:03:46,TOI568,1800.0,20220105.TOI568.0023.fits,on,on,on,on,14,7.0,11.95
09:48:20,TOI568,1800.0,20220105.TOI568.0024.fits,on,on,on,on,14,7.0,11.95
10:33:05,TOI1842,1800.0,20220105.TOI1842.0025.fits,on,on,on,on,14,7.0,11.95
11:17:41,TOI1842,1800.0,20220105.TOI1842.0026.fits,on,on,on,on,14,7.0,11.95
12:02:17,TOI1842,1800.0,20220105.TOI1842.0027.fits,on,on,on,on,14,7.0,11.95
12:47:00,TIC349488688,1800.0,20220105.TIC349488688.0028.fits,on,on,on,on,14,7.0,11.95
