Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:18:05,TOI1588,1800.0,n20230217.TOI1588.0015.fits,on,on,on,on,6,3.0,11.1
03:02:45,TOI1588,1800.0,n20230217.TOI1588.0016.fits,on,on,on,on,6,3.0,11.1
03:47:22,TOI1588,1800.0,n20230217.TOI1588.0017.fits,on,on,on,on,6,3.0,11.1
04:30:05,HR2209,1800.0,n20230217.HR2209.0018.fits,on,on,on,on,6,3.0,11.1
05:12:17,TOI1012,1800.0,n20230217.TOI1012.0019.fits,on,on,on,on,6,3.0,11.1
05:53:12,TOI1012,1800.0,n20230217.TOI1012.0020.fits,on,on,on,on,6,3.0,11.1
