Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:35:53,HR8597,1463.0,n20221202.HR8597.0014.fits,on,on,on,on,17,5.91,11.89
03:12:16,TOI1682_01,1200.0,n20221202.TOI1682_01.0015.fits,on,on,on,on,17,5.91,11.89
03:32:51,TOI1682_01,1200.0,n20221202.TOI1682_01.0016.fits,on,on,on,on,17,5.91,11.89
03:53:25,TOI1682_01,1200.0,n20221202.TOI1682_01.0017.fits,on,on,on,on,17,5.91,11.89
04:14:00,TOI1682_01,1200.0,n20221202.TOI1682_01.0018.fits,on,on,on,on,17,5.91,11.89
04:34:43,TOI1682_01,1200.0,n20221202.TOI1682_01.0019.fits,on,on,on,on,17,5.91,11.89
05:08:22,TOI1682_01,1200.0,n20221202.TOI1682_01.0020.fits,on,on,on,on,17,5.91,11.89
05:28:57,TOI1682_01,1200.0,n20221202.TOI1682_01.0021.fits,on,on,on,on,17,5.91,11.89
05:49:33,TOI1682_01,1200.0,n20221202.TOI1682_01.0022.fits,on,on,on,on,17,5.91,11.89
06:10:10,TOI1682_01,1200.0,n20221202.TOI1682_01.0023.fits,on,on,on,on,17,5.91,11.89
06:30:44,TOI1682_01,1200.0,n20221202.TOI1682_01.0024.fits,on,on,on,on,17,5.91,11.89
07:01:04,TOI1682_01,1200.0,n20221202.TOI1682_01.0025.fits,on,on,on,on,17,5.91,11.89
07:21:40,TOI1682_01,1200.0,n20221202.TOI1682_01.0026.fits,on,on,on,on,17,5.91,11.89
07:42:14,TOI1682_01,1200.0,n20221202.TOI1682_01.0027.fits,on,on,on,on,17,5.91,11.89
08:02:49,TOI1682_01,1200.0,n20221202.TOI1682_01.0028.fits,on,on,on,on,17,5.91,11.89
08:23:23,TOI1682_01,1200.0,n20221202.TOI1682_01.0029.fits,on,on,on,on,17,5.91,11.89
09:12:15,TOI1649,1800.0,n20221202.TOI1649.0030.fits,on,on,on,on,17,5.91,11.89
