Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:13:44,TOI1608_01,1200.0,n20230216.TOI1608_01.0014.fits,on,on,on,on,17,6.67,11.12
02:34:19,TOI1608_01,1200.0,n20230216.TOI1608_01.0015.fits,on,on,on,on,17,6.67,11.12
02:54:54,TOI1608_01,1200.0,n20230216.TOI1608_01.0016.fits,on,on,on,on,17,6.67,11.12
03:15:29,TOI1608_01,1200.0,n20230216.TOI1608_01.0017.fits,on,on,on,on,17,6.67,11.12
03:36:04,TOI1608_01,1200.0,n20230216.TOI1608_01.0018.fits,on,on,on,on,17,6.67,11.12
04:10:19,TOI1608_01,1200.0,n20230216.TOI1608_01.0019.fits,on,on,on,on,17,6.67,11.12
04:30:54,TOI1608_01,1200.0,n20230216.TOI1608_01.0020.fits,on,on,on,on,17,6.67,11.12
04:51:29,TOI1608_01,1200.0,n20230216.TOI1608_01.0021.fits,on,on,on,on,17,6.67,11.12
05:12:04,TOI1608_01,1200.0,n20230216.TOI1608_01.0022.fits,on,on,on,on,17,6.67,11.12
05:32:39,TOI1608_01,1200.0,n20230216.TOI1608_01.0023.fits,on,on,on,on,17,6.67,11.12
06:06:53,TOI1608_01,1200.0,n20230216.TOI1608_01.0024.fits,on,on,on,on,17,6.67,11.12
06:42:21,TOI1012,1800.0,n20230216.TOI1012.0025.fits,on,on,on,on,17,6.67,11.12
07:24:59,TOI1012,1800.0,n20230216.TOI1012.0026.fits,on,on,on,on,17,6.67,11.12
08:07:34,TOI1012,1800.0,n20230216.TOI1012.0027.fits,on,on,on,on,17,6.67,11.12
08:48:54,HR3799,1800.0,n20230216.HR3799.0028.fits,on,on,on,on,17,6.67,11.12
09:35:47,TOI1842,1800.0,n20230216.TOI1842.0029.fits,on,on,on,on,17,6.67,11.12
10:20:30,TOI1842,1800.0,n20230216.TOI1842.0030.fits,on,on,on,on,17,6.67,11.12
