Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:30:20,HR2209,1800.0,20220310.HR2209.0015.fits,on,on,on,on,15,7.5,10.45
03:15:19,HD62613,1800.0,20220310.HD62613.0016.fits,on,on,on,on,15,7.5,10.45
03:55:57,TOI991,1800.0,20220310.TOI991.0017.fits,on,on,on,on,15,7.5,10.45
04:36:06,TOI568,1800.0,20220310.TOI568.0018.fits,on,on,on,on,15,7.5,10.45
05:15:45,TOI1842,1800.0,20220310.TOI1842.0019.fits,on,on,on,on,15,7.5,10.45
05:55:49,TOI1842,1800.0,20220310.TOI1842.0020.fits,on,on,on,on,15,7.5,10.45
06:35:19,TOI1842,1800.0,20220310.TOI1842.0021.fits,on,on,on,on,15,7.5,10.45
07:11:51,HD62613,1800.0,20220310.HD62613.0022.fits,on,on,on,on,15,7.5,10.45
07:52:09,TOI1842,1800.0,20220310.TOI1842.0023.fits,on,on,on,on,15,7.5,10.45
08:31:41,TIC349488688,1800.0,20220310.TIC349488688.0024.fits,on,on,on,on,15,7.5,10.45
09:10:52,TOI2145,1800.0,20220310.TOI2145.0025.fits,on,on,on,on,15,7.5,10.45
09:50:24,TOI2145,1800.0,20220310.TOI2145.0026.fits,on,on,on,on,15,7.5,10.45
10:30:39,TOI2145,1800.0,20220310.TOI2145.0027.fits,on,on,on,on,15,7.5,10.45
11:10:04,TOI2123,1800.0,20220310.TOI2123.0028.fits,on,on,on,on,15,7.5,10.45
11:49:21,TOI2123,1800.0,20220310.TOI2123.0029.fits,on,on,on,on,15,7.5,10.45
