Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:53:39,TOI1151_01,1200.0,20211020.TOI1151_01.0014.fits,on,on,on,on,5,1.67,10.97
02:14:13,TOI1151_01,1200.0,20211020.TOI1151_01.0015.fits,on,on,on,on,5,1.67,10.97
02:34:48,TOI1151_01,1200.0,20211020.TOI1151_01.0016.fits,on,on,on,on,5,1.67,10.97
02:55:27,TOI1151_01,1200.0,20211020.TOI1151_01.0017.fits,on,on,on,on,5,1.67,10.97
03:16:01,TOI1151_01,1200.0,20211020.TOI1151_01.0018.fits,on,on,on,on,5,1.67,10.97
