Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:17:46,TOI1717_01,1200.0,20220219.TOI1717_01.0015.fits,on,on,on,on,28,9.48,11.03
02:38:23,TOI1717_01,1200.0,20220219.TOI1717_01.0016.fits,on,on,on,on,28,9.48,11.03
02:58:58,TOI1717_01,1200.0,20220219.TOI1717_01.0017.fits,on,on,on,on,28,9.48,11.03
03:19:32,TOI1717_01,1200.0,20220219.TOI1717_01.0018.fits,on,on,on,on,28,9.48,11.03
03:40:06,TOI1717_01,1200.0,20220219.TOI1717_01.0019.fits,on,on,on,on,28,9.48,11.03
04:09:31,TOI1717_01,1200.0,20220219.TOI1717_01.0020.fits,on,on,on,on,28,9.48,11.03
04:30:06,TOI1717_01,1200.0,20220219.TOI1717_01.0021.fits,on,on,on,on,28,9.48,11.03
04:50:42,TOI1717_01,1200.0,20220219.TOI1717_01.0022.fits,on,on,on,on,28,9.48,11.03
05:11:19,TOI1717_01,1200.0,20220219.TOI1717_01.0023.fits,on,on,on,on,28,9.48,11.03
05:31:55,TOI1717_01,1200.0,20220219.TOI1717_01.0024.fits,on,on,on,on,28,9.48,11.03
05:59:46,TOI1717_01,1200.0,20220219.TOI1717_01.0025.fits,on,on,on,on,28,9.48,11.03
06:20:21,TOI1717_01,1200.0,20220219.TOI1717_01.0026.fits,on,on,on,on,28,9.48,11.03
06:40:55,TOI1717_01,1200.0,20220219.TOI1717_01.0027.fits,on,on,on,on,28,9.48,11.03
07:01:29,TOI1717_01,1200.0,20220219.TOI1717_01.0028.fits,on,on,on,on,28,9.48,11.03
07:22:04,TOI1717_01,1200.0,20220219.TOI1717_01.0029.fits,on,on,on,on,28,9.48,11.03
07:49:50,TOI1717_01,1200.0,20220219.TOI1717_01.0030.fits,on,on,on,on,28,9.48,11.03
08:10:24,TOI1717_01,1200.0,20220219.TOI1717_01.0031.fits,on,on,on,on,28,9.48,11.03
08:30:58,TOI1717_01,1200.0,20220219.TOI1717_01.0032.fits,on,on,on,on,28,9.48,11.03
08:51:46,TOI1717_01,1200.0,20220219.TOI1717_01.0033.fits,on,on,on,on,28,9.48,11.03
09:12:26,TOI1717_01,1200.0,20220219.TOI1717_01.0034.fits,on,on,on,on,28,9.48,11.03
09:40:15,TOI1717_01,1200.0,20220219.TOI1717_01.0035.fits,on,on,on,on,28,9.48,11.03
10:01:01,TOI1717_01,1200.0,20220219.TOI1717_01.0036.fits,on,on,on,on,28,9.48,11.03
10:21:35,TOI1717_01,1200.0,20220219.TOI1717_01.0037.fits,on,on,on,on,28,9.48,11.03
10:42:09,TOI1717_01,1200.0,20220219.TOI1717_01.0038.fits,on,on,on,on,28,9.48,11.03
11:02:44,TOI1717_01,1200.0,20220219.TOI1717_01.0039.fits,on,on,on,on,28,9.48,11.03
11:30:32,TOI1717_01,1200.0,20220219.TOI1717_01.0040.fits,on,on,on,on,28,9.48,11.03
11:57:16,HR6629,1141.0,20220219.HR6629.0041.fits,on,on,on,on,28,9.48,11.03
12:25:18,TOI2123,1800.0,20220219.TOI2123.0042.fits,on,on,on,on,28,9.48,11.03
