Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:09:37,TOI1518,1800.0,20220206.TOI1518.0015.fits,on,on,on,on,6,3.0,11.38
02:54:15,TOI1518,1800.0,20220206.TOI1518.0016.fits,on,on,on,on,6,3.0,11.38
03:38:52,TOI1518,1800.0,20220206.TOI1518.0017.fits,on,on,on,on,6,3.0,11.38
04:23:52,HR2209,1800.0,20220206.HR2209.0018.fits,on,on,on,on,6,3.0,11.38
05:08:41,TOI1135,1800.0,20220206.TOI1135.0019.fits,on,on,on,on,6,3.0,11.38
05:53:33,TOI991,1800.0,20220206.TOI991.0020.fits,on,on,on,on,6,3.0,11.38
