Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:31:53,TOI1682_01,1200.0,n20230308.TOI1682_01.0015.fits,on,on,on,on,18,7.63,10.52
02:52:36,TOI1682_01,1200.0,n20230308.TOI1682_01.0016.fits,on,on,on,on,18,7.63,10.52
03:13:14,TOI1682_01,1200.0,n20230308.TOI1682_01.0017.fits,on,on,on,on,18,7.63,10.52
03:33:49,TOI1682_01,1200.0,n20230308.TOI1682_01.0018.fits,on,on,on,on,18,7.63,10.52
03:54:27,TOI1682_01,1200.0,n20230308.TOI1682_01.0019.fits,on,on,on,on,18,7.63,10.52
04:28:39,TOI1682_01,1200.0,n20230308.TOI1682_01.0020.fits,on,on,on,on,18,7.63,10.52
05:28:00,HIP41378,1800.0,n20230308.HIP41378.0021.fits,on,on,on,on,18,7.63,10.52
05:58:37,HIP41378,1800.0,n20230308.HIP41378.0022.fits,on,on,on,on,18,7.63,10.52
06:29:14,HIP41378,1800.0,n20230308.HIP41378.0023.fits,on,on,on,on,18,7.63,10.52
06:59:51,HIP41378,1800.0,n20230308.HIP41378.0024.fits,on,on,on,on,18,7.63,10.52
07:30:29,HIP41378,1800.0,n20230308.HIP41378.0025.fits,on,on,on,on,18,7.63,10.52
08:14:56,HIP41378,1800.0,n20230308.HIP41378.0026.fits,on,on,on,on,18,7.63,10.52
08:45:31,HIP41378,1800.0,n20230308.HIP41378.0027.fits,on,on,on,on,18,7.63,10.52
09:30:40,TOI1842,1800.0,n20230308.TOI1842.0028.fits,on,on,on,on,18,7.63,10.52
10:15:20,TOI1842,1800.0,n20230308.TOI1842.0029.fits,on,on,on,on,18,7.63,10.52
11:08:12,HR5511,1109.0,n20230308.HR5511.0030.fits,on,on,on,on,18,7.63,10.52
11:41:33,TOI2003,1800.0,n20230308.TOI2003.0031.fits,on,on,on,on,18,7.63,10.52
12:20:29,HR6629,1141.0,n20230308.HR6629.0032.fits,on,on,on,on,18,7.63,10.52
