Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:26:37,HIP41378,1800.0,n20230228.HIP41378.0016.fits,on,on,on,on,14,7.0,10.77
02:57:14,HIP41378,1800.0,n20230228.HIP41378.0017.fits,on,on,on,on,14,7.0,10.77
03:27:51,HIP41378,1800.0,n20230228.HIP41378.0018.fits,on,on,on,on,14,7.0,10.77
03:58:33,HIP41378,1800.0,n20230228.HIP41378.0019.fits,on,on,on,on,14,7.0,10.77
04:29:12,HIP41378,1800.0,n20230228.HIP41378.0020.fits,on,on,on,on,14,7.0,10.77
05:13:34,HIP41378,1800.0,n20230228.HIP41378.0021.fits,on,on,on,on,14,7.0,10.77
05:44:09,HIP41378,1800.0,n20230228.HIP41378.0022.fits,on,on,on,on,14,7.0,10.77
06:14:45,HIP41378,1800.0,n20230228.HIP41378.0023.fits,on,on,on,on,14,7.0,10.77
06:45:20,HIP41378,1800.0,n20230228.HIP41378.0024.fits,on,on,on,on,14,7.0,10.77
07:15:55,HIP41378,1800.0,n20230228.HIP41378.0025.fits,on,on,on,on,14,7.0,10.77
08:00:18,HIP41378,1800.0,n20230228.HIP41378.0026.fits,on,on,on,on,14,7.0,10.77
08:30:56,HIP41378,1800.0,n20230228.HIP41378.0027.fits,on,on,on,on,14,7.0,10.77
09:01:34,HIP41378,1800.0,n20230228.HIP41378.0028.fits,on,on,on,on,14,7.0,10.77
09:32:09,HIP41378,1800.0,n20230228.HIP41378.0029.fits,on,on,on,on,14,7.0,10.77
