Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
03:03:39,HR3799,1800.0,20220419.HR3799.0015.fits,on,on,on,on,9,4.5,9.09
03:48:37,TOI568,1800.0,20220419.TOI568.0016.fits,on,on,on,on,9,4.5,9.09
04:33:27,TOI1784,1800.0,20220419.TOI1784.0017.fits,on,on,on,on,9,4.5,9.09
05:18:22,TOI1842,1800.0,20220419.TOI1842.0018.fits,on,on,on,on,9,4.5,9.09
06:02:58,TOI1842,1800.0,20220419.TOI1842.0019.fits,on,on,on,on,9,4.5,9.09
06:47:35,TOI1842,1800.0,20220419.TOI1842.0020.fits,on,on,on,on,9,4.5,9.09
07:26:50,TIC349488688,1800.0,20220419.TIC349488688.0021.fits,on,on,on,on,9,4.5,9.09
08:11:36,TOI1842,1800.0,20220419.TOI1842.0022.fits,on,on,on,on,9,4.5,9.09
08:54:29,TOI1355,1800.0,20220419.TOI1355.0023.fits,on,on,on,on,9,4.5,9.09
