Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
03:48:09,TOI2123,1800.0,20220706.TOI2123.0014.fits,on,on,on,on,11,5.25,7.8
04:31:58,TOI2123,1800.0,20220706.TOI2123.0015.fits,on,on,on,on,11,5.25,7.8
05:16:32,TOI2123,1800.0,20220706.TOI2123.0016.fits,on,on,on,on,11,5.25,7.8
05:57:33,TIC349488688,1800.0,20220706.TIC349488688.0017.fits,on,on,on,on,11,5.25,7.8
06:38:45,TOI1355,1800.0,20220706.TOI1355.0018.fits,on,on,on,on,11,5.25,7.8
07:22:36,TOI1355,1800.0,20220706.TOI1355.0019.fits,on,on,on,on,11,5.25,7.8
08:07:15,TOI1355,1800.0,20220706.TOI1355.0020.fits,on,on,on,on,11,5.25,7.8
08:50:32,TOI1518,1800.0,20220706.TOI1518.0021.fits,on,on,on,on,11,5.25,7.8
09:34:41,TOI1518,1800.0,20220706.TOI1518.0022.fits,on,on,on,on,11,5.25,7.8
10:16:44,TOI1518,1800.0,20220706.TOI1518.0023.fits,on,on,on,on,11,5.25,7.8
10:53:22,HD10700,906.0,20220706.HD10700.0024.fits,on,on,on,on,11,5.25,7.8
