Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:30:13,TOI1355,1800.0,20211116.TOI1355.0014.fits,on,on,0,0,17,8.42,11.64
02:12:09,TOI1355,1800.0,20211116.TOI1355.0015.fits,on,on,0,0,17,8.42,11.64
02:53:57,TOI1355,1800.0,20211116.TOI1355.0016.fits,on,on,0,0,17,8.42,11.64
03:35:58,TOI1518,1800.0,20211116.TOI1518.0017.fits,on,on,0,0,17,8.42,11.64
04:17:51,TOI1518,1800.0,20211116.TOI1518.0018.fits,on,on,0,0,17,8.42,11.64
04:59:40,TOI1518,1800.0,20211116.TOI1518.0019.fits,on,on,0,0,17,8.42,11.64
05:41:39,HR179,1800.0,20211116.HR179.0020.fits,on,on,0,0,17,8.42,11.64
06:22:45,TOI1431,1800.0,20211116.TOI1431.0021.fits,on,on,0,0,17,8.42,11.64
07:05:17,TOI1480,1800.0,20211116.TOI1480.0022.fits,on,on,0,0,17,8.42,11.64
07:47:39,TOI1480,1800.0,20211116.TOI1480.0023.fits,on,on,0,0,17,8.42,11.64
08:30:26,TOI445,1800.0,20211116.TOI445.0024.fits,on,on,0,0,17,8.42,11.64
09:07:14,HD26965,1800.0,20211116.HD26965.0025.fits,on,on,0,0,17,8.42,11.64
09:44:09,HD16160,1800.0,20211116.HD16160.0026.fits,on,on,0,0,17,8.42,11.64
10:21:51,HD62613,1800.0,20211116.HD62613.0027.fits,on,on,0,0,17,8.42,11.64
11:03:44,TOI1135,1800.0,20211116.TOI1135.0028.fits,on,on,0,0,17,8.42,11.64
11:45:54,TOI568,1800.0,20211116.TOI568.0029.fits,on,on,0,0,17,8.42,11.64
12:22:40,HD19373,1504.0,20211116.HD19373.0030.fits,on,on,0,0,17,8.42,11.64
