Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:45:16,TOI1150_01,1200.0,20221026.TOI1150_01.0001.fits,on,on,on,on,10,3.33,11.13
02:05:50,TOI1150_01,1200.0,20221026.TOI1150_01.0002.fits,on,on,on,on,10,3.33,11.13
02:26:25,TOI1150_01,1200.0,20221026.TOI1150_01.0003.fits,on,on,on,on,10,3.33,11.13
02:47:01,TOI1150_01,1200.0,20221026.TOI1150_01.0004.fits,on,on,on,on,10,3.33,11.13
03:07:38,TOI1150_01,1200.0,20221026.TOI1150_01.0005.fits,on,on,on,on,10,3.33,11.13
03:37:46,TOI1150_01,1200.0,20221026.TOI1150_01.0006.fits,on,on,on,on,10,3.33,11.13
03:58:25,TOI1150_01,1200.0,20221026.TOI1150_01.0007.fits,on,on,on,on,10,3.33,11.13
04:19:03,TOI1150_01,1200.0,20221026.TOI1150_01.0008.fits,on,on,on,on,10,3.33,11.13
04:39:39,TOI1150_01,1200.0,20221026.TOI1150_01.0009.fits,on,on,on,on,10,3.33,11.13
05:00:13,TOI1150_01,1200.0,20221026.TOI1150_01.0010.fits,on,on,on,on,10,3.33,11.13
