Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:47:07,TOI1599_01,1200.0,20220107.TOI1599_01.0014.fits,on,on,on,on,24,8.97,11.93
02:07:43,TOI1599_01,1200.0,20220107.TOI1599_01.0015.fits,on,on,on,on,24,8.97,11.93
02:28:18,TOI1599_01,1200.0,20220107.TOI1599_01.0016.fits,on,on,on,on,24,8.97,11.93
02:48:56,TOI1599_01,1200.0,20220107.TOI1599_01.0017.fits,on,on,on,on,24,8.97,11.93
03:09:31,TOI1599_01,1200.0,20220107.TOI1599_01.0018.fits,on,on,on,on,24,8.97,11.93
03:43:51,TOI1599_01,1200.0,20220107.TOI1599_01.0019.fits,on,on,on,on,24,8.97,11.93
04:04:29,TOI1599_01,1200.0,20220107.TOI1599_01.0020.fits,on,on,on,on,24,8.97,11.93
04:25:04,TOI1599_01,1200.0,20220107.TOI1599_01.0021.fits,on,on,on,on,24,8.97,11.93
04:45:39,TOI1599_01,1200.0,20220107.TOI1599_01.0022.fits,on,on,on,on,24,8.97,11.93
05:06:14,TOI1599_01,1200.0,20220107.TOI1599_01.0023.fits,on,on,on,on,24,8.97,11.93
05:40:30,TOI1599_01,1200.0,20220107.TOI1599_01.0024.fits,on,on,on,on,24,8.97,11.93
06:01:05,TOI1599_01,1200.0,20220107.TOI1599_01.0025.fits,on,on,on,on,24,8.97,11.93
06:21:40,TOI1599_01,1200.0,20220107.TOI1599_01.0026.fits,on,on,on,on,24,8.97,11.93
06:42:16,TOI1599_01,1200.0,20220107.TOI1599_01.0027.fits,on,on,on,on,24,8.97,11.93
07:02:51,TOI1599_01,1200.0,20220107.TOI1599_01.0028.fits,on,on,on,on,24,8.97,11.93
07:37:06,TOI1599_01,1200.0,20220107.TOI1599_01.0029.fits,on,on,on,on,24,8.97,11.93
07:57:41,TOI1599_01,1200.0,20220107.TOI1599_01.0030.fits,on,on,on,on,24,8.97,11.93
08:32:48,HR2209,1800.0,20220107.HR2209.0031.fits,on,on,on,on,24,8.97,11.93
09:17:42,TOI1842,1800.0,20220107.TOI1842.0032.fits,on,on,on,on,24,8.97,11.93
10:02:27,TOI1842,1800.0,20220107.TOI1842.0033.fits,on,on,on,on,24,8.97,11.93
10:47:09,TOI1842,1800.0,20220107.TOI1842.0034.fits,on,on,on,on,24,8.97,11.93
11:32:00,TOI680,1800.0,20220107.TOI680.0035.fits,on,on,on,on,24,8.97,11.93
12:16:53,TIC349488688,1800.0,20220107.TIC349488688.0036.fits,on,on,on,on,24,8.97,11.93
13:01:42,HR5511,1109.0,20220107.HR5511.0037.fits,on,on,on,on,24,8.97,11.93
