Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
03:30:24,TOI1842,1800.0,20220522.TOI1842.0014.fits,on,on,on,on,7,3.32,8.09
04:15:06,TOI1842,1800.0,20220522.TOI1842.0015.fits,on,on,on,on,7,3.32,8.09
04:57:12,TOI1842,1800.0,20220522.TOI1842.0016.fits,on,on,on,on,7,3.32,8.09
08:56:12,TIC349488688,1800.0,20220522.TIC349488688.0017.fits,on,on,on,on,7,3.32,8.09
09:35:15,HR6629,1141.0,20220522.HR6629.0018.fits,on,on,on,on,7,3.32,8.09
10:03:02,TOI2123,1800.0,20220522.TOI2123.0019.fits,on,on,on,on,7,3.32,8.09
10:42:28,TOI2123,1800.0,20220522.TOI2123.0020.fits,on,on,on,on,7,3.32,8.09
