Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:31:04,TOI1599_01,1200.0,n20221130.TOI1599_01.0014.fits,on,on,on,on,27,9.33,11.87
01:51:40,TOI1599_01,1200.0,n20221130.TOI1599_01.0015.fits,on,on,on,on,27,9.33,11.87
02:12:15,TOI1599_01,1200.0,n20221130.TOI1599_01.0016.fits,on,on,on,on,27,9.33,11.87
02:32:49,TOI1599_01,1200.0,n20221130.TOI1599_01.0017.fits,on,on,on,on,27,9.33,11.87
02:53:24,TOI1599_01,1200.0,n20221130.TOI1599_01.0018.fits,on,on,on,on,27,9.33,11.87
03:27:37,TOI1599_01,1200.0,n20221130.TOI1599_01.0019.fits,on,on,on,on,27,9.33,11.87
03:48:19,TOI1599_01,1200.0,n20221130.TOI1599_01.0020.fits,on,on,on,on,27,9.33,11.87
04:08:55,TOI1599_01,1200.0,n20221130.TOI1599_01.0021.fits,on,on,on,on,27,9.33,11.87
04:29:30,TOI1599_01,1200.0,n20221130.TOI1599_01.0022.fits,on,on,on,on,27,9.33,11.87
04:50:04,TOI1599_01,1200.0,n20221130.TOI1599_01.0023.fits,on,on,on,on,27,9.33,11.87
05:24:15,TOI1599_01,1200.0,n20221130.TOI1599_01.0024.fits,on,on,on,on,27,9.33,11.87
05:44:50,TOI1599_01,1200.0,n20221130.TOI1599_01.0025.fits,on,on,on,on,27,9.33,11.87
06:05:25,TOI1599_01,1200.0,n20221130.TOI1599_01.0026.fits,on,on,on,on,27,9.33,11.87
06:26:04,TOI1599_01,1200.0,n20221130.TOI1599_01.0027.fits,on,on,on,on,27,9.33,11.87
06:46:38,TOI1599_01,1200.0,n20221130.TOI1599_01.0028.fits,on,on,on,on,27,9.33,11.87
07:20:49,TOI1599_01,1200.0,n20221130.TOI1599_01.0029.fits,on,on,on,on,27,9.33,11.87
07:41:25,TOI1599_01,1200.0,n20221130.TOI1599_01.0030.fits,on,on,on,on,27,9.33,11.87
08:02:02,TOI1599_01,1200.0,n20221130.TOI1599_01.0031.fits,on,on,on,on,27,9.33,11.87
08:22:36,TOI1599_01,1200.0,n20221130.TOI1599_01.0032.fits,on,on,on,on,27,9.33,11.87
08:43:11,TOI1599_01,1200.0,n20221130.TOI1599_01.0033.fits,on,on,on,on,27,9.33,11.87
09:17:25,TOI1599_01,1200.0,n20221130.TOI1599_01.0034.fits,on,on,on,on,27,9.33,11.87
09:37:59,TOI1599_01,1200.0,n20221130.TOI1599_01.0035.fits,on,on,on,on,27,9.33,11.87
09:58:33,TOI1599_01,1200.0,n20221130.TOI1599_01.0036.fits,on,on,on,on,27,9.33,11.87
10:19:07,TOI1599_01,1200.0,n20221130.TOI1599_01.0037.fits,on,on,on,on,27,9.33,11.87
10:39:42,TOI1599_01,1200.0,n20221130.TOI1599_01.0038.fits,on,on,on,on,27,9.33,11.87
11:42:45,HR3799,1800.0,n20221130.HR3799.0039.fits,on,on,on,on,27,9.33,11.87
12:27:25,TOI4631,1800.0,n20221130.TOI4631.0040.fits,on,on,on,on,27,9.33,11.87
