Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:50:43,HR2209,1800.0,20220405.HR2209.0014.fits,on,on,on,on,10,5.0,9.58
03:35:34,TOI568,1800.0,20220405.TOI568.0015.fits,on,on,on,on,10,5.0,9.58
04:20:08,TOI568,1800.0,20220405.TOI568.0016.fits,on,on,on,on,10,5.0,9.58
05:04:47,TOI568,1800.0,20220405.TOI568.0017.fits,on,on,on,on,10,5.0,9.58
05:43:43,TOI680,1800.0,20220405.TOI680.0018.fits,on,on,on,on,10,5.0,9.58
06:28:29,TOI1842,1800.0,20220405.TOI1842.0019.fits,on,on,on,on,10,5.0,9.58
07:07:56,TOI1842,1800.0,20220405.TOI1842.0020.fits,on,on,on,on,10,5.0,9.58
07:52:32,TOI1842,1800.0,20220405.TOI1842.0021.fits,on,on,on,on,10,5.0,9.58
08:32:05,TIC349488688,1800.0,20220405.TIC349488688.0022.fits,on,on,on,on,10,5.0,9.58
09:12:33,TOI2123,1800.0,20220405.TOI2123.0023.fits,on,on,on,on,10,5.0,9.58
