Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:33:25,HR2209,1800.0,n20230311.HR2209.0015.fits,on,on,on,on,6,3.0,10.43
03:19:00,HIP41378,1800.0,n20230311.HIP41378.0016.fits,on,on,on,on,6,3.0,10.43
03:49:36,HIP41378,1800.0,n20230311.HIP41378.0017.fits,on,on,on,on,6,3.0,10.43
04:20:12,HIP41378,1800.0,n20230311.HIP41378.0018.fits,on,on,on,on,6,3.0,10.43
04:50:50,HIP41378,1800.0,n20230311.HIP41378.0019.fits,on,on,on,on,6,3.0,10.43
06:38:18,TOI4631,1800.0,n20230311.TOI4631.0020.fits,on,on,on,on,6,3.0,10.43
