Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:25:42,TOI1608_01,1200.0,n20221124.TOI1608_01.0014.fits,on,on,on,on,23,9.0,11.78
01:46:17,TOI1608_01,1200.0,n20221124.TOI1608_01.0015.fits,on,on,on,on,23,9.0,11.78
02:06:52,TOI1608_01,1200.0,n20221124.TOI1608_01.0016.fits,on,on,on,on,23,9.0,11.78
02:27:27,TOI1608_01,1200.0,n20221124.TOI1608_01.0017.fits,on,on,on,on,23,9.0,11.78
02:48:04,TOI1608_01,1200.0,n20221124.TOI1608_01.0018.fits,on,on,on,on,23,9.0,11.78
03:17:39,TOI1608_01,1200.0,n20221124.TOI1608_01.0019.fits,on,on,on,on,23,9.0,11.78
03:38:14,TOI1608_01,1200.0,n20221124.TOI1608_01.0020.fits,on,on,on,on,23,9.0,11.78
03:58:49,TOI1608_01,1200.0,n20221124.TOI1608_01.0021.fits,on,on,on,on,23,9.0,11.78
04:19:24,TOI1608_01,1200.0,n20221124.TOI1608_01.0022.fits,on,on,on,on,23,9.0,11.78
04:39:58,TOI1608_01,1200.0,n20221124.TOI1608_01.0023.fits,on,on,on,on,23,9.0,11.78
05:10:32,TOI1608_01,1200.0,n20221124.TOI1608_01.0024.fits,on,on,on,on,23,9.0,11.78
05:31:19,TOI1608_01,1200.0,n20221124.TOI1608_01.0025.fits,on,on,on,on,23,9.0,11.78
05:51:54,TOI1608_01,1200.0,n20221124.TOI1608_01.0026.fits,on,on,on,on,23,9.0,11.78
06:12:28,TOI1608_01,1200.0,n20221124.TOI1608_01.0027.fits,on,on,on,on,23,9.0,11.78
06:33:04,TOI1608_01,1200.0,n20221124.TOI1608_01.0028.fits,on,on,on,on,23,9.0,11.78
07:17:42,TOI1588,1800.0,n20221124.TOI1588.0029.fits,on,on,on,on,23,9.0,11.78
07:58:17,TOI1588,1800.0,n20221124.TOI1588.0030.fits,on,on,on,on,23,9.0,11.78
08:43:26,TOI1588,1800.0,n20221124.TOI1588.0031.fits,on,on,on,on,23,9.0,11.78
09:28:45,HR2209,1800.0,n20221124.HR2209.0032.fits,on,on,on,on,23,9.0,11.78
10:10:41,TOI1012,1800.0,n20221124.TOI1012.0033.fits,on,on,on,on,23,9.0,11.78
10:51:38,TOI1012,1800.0,n20221124.TOI1012.0034.fits,on,on,on,on,23,9.0,11.78
11:33:28,TOI1012,1800.0,n20221124.TOI1012.0035.fits,on,on,on,on,23,9.0,11.78
12:18:23,TOI4631,1800.0,n20221124.TOI4631.0036.fits,on,on,on,on,23,9.0,11.78
