Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
03:20:04,TOI1717_01,1200.0,20220515.TOI1717_01.0015.fits,on,on,on,on,16,6.22,8.27
03:40:38,TOI1717_01,1200.0,20220515.TOI1717_01.0016.fits,on,on,on,on,16,6.22,8.27
04:01:12,TOI1717_01,1200.0,20220515.TOI1717_01.0017.fits,on,on,on,on,16,6.22,8.27
04:21:47,TOI1717_01,1200.0,20220515.TOI1717_01.0018.fits,on,on,on,on,16,6.22,8.27
04:42:22,TOI1717_01,1200.0,20220515.TOI1717_01.0019.fits,on,on,on,on,16,6.22,8.27
05:16:39,TOI1717_01,1200.0,20220515.TOI1717_01.0020.fits,on,on,on,on,16,6.22,8.27
05:37:13,TOI1717_01,1200.0,20220515.TOI1717_01.0021.fits,on,on,on,on,16,6.22,8.27
05:57:47,TOI1717_01,1200.0,20220515.TOI1717_01.0022.fits,on,on,on,on,16,6.22,8.27
06:29:18,TOI1842,1800.0,20220515.TOI1842.0023.fits,on,on,on,on,16,6.22,8.27
07:14:05,TOI2123,1800.0,20220515.TOI2123.0024.fits,on,on,on,on,16,6.22,8.27
07:58:45,TOI2123,1800.0,20220515.TOI2123.0025.fits,on,on,on,on,16,6.22,8.27
08:38:19,TOI2123,1800.0,20220515.TOI2123.0026.fits,on,on,on,on,16,6.22,8.27
09:20:10,TIC349488688,1800.0,20220515.TIC349488688.0027.fits,on,on,on,on,16,6.22,8.27
09:59:26,HR6629,1141.0,20220515.HR6629.0028.fits,on,on,on,on,16,6.22,8.27
10:29:06,TOI1518,1800.0,20220515.TOI1518.0029.fits,on,on,on,on,16,6.22,8.27
11:05:26,HD4614A,865.0,20220515.HD4614A.0030.fits,on,on,on,on,16,6.22,8.27
