Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
03:20:02,TOI1842,1800.0,20220513.TOI1842.0015.fits,on,on,on,on,17,6.5,8.32
04:00:26,TIC349488688,1800.0,20220513.TIC349488688.0016.fits,on,on,on,on,17,6.5,8.32
04:42:11,TOI1842,1800.0,20220513.TOI1842.0017.fits,on,on,on,on,17,6.5,8.32
05:26:41,TOI1842,1800.0,20220513.TOI1842.0018.fits,on,on,on,on,17,6.5,8.32
06:10:57,TOI2123,1800.0,20220513.TOI2123.0019.fits,on,on,on,on,17,6.5,8.32
06:49:01,TOI1150_01,1200.0,20220513.TOI1150_01.0020.fits,on,on,on,on,17,6.5,8.32
07:09:35,TOI1150_01,1200.0,20220513.TOI1150_01.0021.fits,on,on,on,on,17,6.5,8.32
07:30:10,TOI1150_01,1200.0,20220513.TOI1150_01.0022.fits,on,on,on,on,17,6.5,8.32
07:50:45,TOI1150_01,1200.0,20220513.TOI1150_01.0023.fits,on,on,on,on,17,6.5,8.32
08:11:19,TOI1150_01,1200.0,20220513.TOI1150_01.0024.fits,on,on,on,on,17,6.5,8.32
08:45:33,TOI1150_01,1200.0,20220513.TOI1150_01.0025.fits,on,off,on,on,17,6.5,8.32
09:06:10,TOI1150_01,1200.0,20220513.TOI1150_01.0026.fits,on,off,on,on,17,6.5,8.32
09:26:44,TOI1150_01,1200.0,20220513.TOI1150_01.0027.fits,on,off,on,on,17,6.5,8.32
09:47:18,TOI1150_01,1200.0,20220513.TOI1150_01.0028.fits,on,off,on,on,17,6.5,8.32
10:07:52,TOI1150_01,1200.0,20220513.TOI1150_01.0029.fits,on,off,on,on,17,6.5,8.32
10:42:11,TOI1150_01,1200.0,20220513.TOI1150_01.0030.fits,on,off,on,on,17,6.5,8.32
11:02:48,TOI1150_01,1200.0,20220513.TOI1150_01.0031.fits,on,off,on,on,17,6.5,8.32
