Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
06:08:34,TOI1355,1800.0,20220926.TOI1355.0016.fits,on,on,on,on,7,3.5,10.22
07:36:23,TOI1518,1800.0,20220926.TOI1518.0017.fits,on,on,on,on,7,3.5,10.22
08:47:04,TOI1518,1800.0,20220926.TOI1518.0018.fits,on,on,on,on,7,3.5,10.22
09:29:19,TOI1518,1800.0,20220926.TOI1518.0019.fits,on,on,on,on,7,3.5,10.22
10:11:32,HR932,1800.0,20220926.HR932.0020.fits,on,on,on,on,7,3.5,10.22
10:51:50,TOI1480,1800.0,20220926.TOI1480.0021.fits,on,on,on,on,7,3.5,10.22
11:34:19,TOI1480,1800.0,20220926.TOI1480.0022.fits,on,on,on,on,7,3.5,10.22
