Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
05:22:42,TOI1599_01,1200.0,20211016.TOI1599_01.0014.fits,on,on,on,on,19,6.33,10.85
05:43:16,TOI1599_01,1200.0,20211016.TOI1599_01.0015.fits,on,on,on,on,19,6.33,10.85
06:03:51,TOI1599_01,1200.0,20211016.TOI1599_01.0016.fits,on,on,on,on,19,6.33,10.85
06:24:25,TOI1599_01,1200.0,20211016.TOI1599_01.0017.fits,on,on,on,on,19,6.33,10.85
06:45:13,TOI1599_01,1200.0,20211016.TOI1599_01.0018.fits,on,on,on,on,19,6.33,10.85
07:16:02,TOI1599_01,1200.0,20211016.TOI1599_01.0019.fits,on,on,on,on,19,6.33,10.85
07:36:36,TOI1599_01,1200.0,20211016.TOI1599_01.0020.fits,on,on,on,on,19,6.33,10.85
07:57:11,TOI1599_01,1200.0,20211016.TOI1599_01.0021.fits,on,on,on,on,19,6.33,10.85
08:17:45,TOI1599_01,1200.0,20211016.TOI1599_01.0022.fits,on,on,on,on,19,6.33,10.85
08:38:21,TOI1599_01,1200.0,20211016.TOI1599_01.0023.fits,on,on,on,on,19,6.33,10.85
09:08:55,TOI1599_01,1200.0,20211016.TOI1599_01.0024.fits,on,on,on,on,19,6.33,10.85
09:29:30,TOI1599_01,1200.0,20211016.TOI1599_01.0025.fits,on,on,on,on,19,6.33,10.85
09:50:09,TOI1599_01,1200.0,20211016.TOI1599_01.0026.fits,on,on,on,on,19,6.33,10.85
10:10:43,TOI1599_01,1200.0,20211016.TOI1599_01.0027.fits,on,on,on,on,19,6.33,10.85
10:31:18,TOI1599_01,1200.0,20211016.TOI1599_01.0028.fits,on,on,on,on,19,6.33,10.85
11:01:19,TOI1599_01,1200.0,20211016.TOI1599_01.0029.fits,on,on,on,on,19,6.33,10.85
11:21:56,TOI1599_01,1200.0,20211016.TOI1599_01.0030.fits,on,on,on,on,19,6.33,10.85
11:42:33,TOI1599_01,1200.0,20211016.TOI1599_01.0031.fits,on,on,on,on,19,6.33,10.85
12:03:08,TOI1599_01,1200.0,20211016.TOI1599_01.0032.fits,on,on,on,on,19,6.33,10.85
