Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:36:04,TOI1588,1800.0,n20221223.TOI1588.0015.fits,on,on,on,on,11,5.5,12.01
02:20:43,TOI1588,1800.0,n20221223.TOI1588.0016.fits,on,on,on,on,11,5.5,12.01
03:05:24,TOI1588,1800.0,n20221223.TOI1588.0017.fits,on,on,on,on,11,5.5,12.01
03:50:05,TOI1588,1800.0,n20221223.TOI1588.0018.fits,on,on,on,on,11,5.5,12.01
04:30:59,TOI1588,1800.0,n20221223.TOI1588.0019.fits,on,on,on,on,11,5.5,12.01
05:12:03,TOI1588,1800.0,n20221223.TOI1588.0020.fits,on,on,on,on,11,5.5,12.01
05:53:54,TOI1588,1800.0,n20221223.TOI1588.0021.fits,on,on,on,on,11,5.5,12.01
06:37:39,TOI2456,1800.0,n20221223.TOI2456.0022.fits,on,on,on,on,11,5.5,12.01
07:21:32,TOI2456,1800.0,n20221223.TOI2456.0023.fits,on,on,on,on,11,5.5,12.01
08:01:46,TOI2456,1800.0,n20221223.TOI2456.0024.fits,on,on,on,on,11,5.5,12.01
08:42:09,TOI1012,1800.0,n20221223.TOI1012.0025.fits,on,on,on,on,11,5.5,12.01
