Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
02:21:39,TOI1518,1800.0,20220302.TOI1518.0015.fits,on,on,on,on,16,7.81,10.71
03:03:02,TOI1518,1800.0,20220302.TOI1518.0016.fits,on,on,on,on,16,7.81,10.71
03:41:35,HR2209,1800.0,20220302.HR2209.0017.fits,on,on,on,on,16,7.81,10.71
04:21:37,TOI568,1800.0,20220302.TOI568.0018.fits,on,on,on,on,16,7.81,10.71
05:00:39,TOI568,1800.0,20220302.TOI568.0019.fits,on,on,on,on,16,7.81,10.71
05:44:56,TOI568,1800.0,20220302.TOI568.0020.fits,on,on,on,on,16,7.81,10.71
06:24:14,TOI1842,1800.0,20220302.TOI1842.0021.fits,on,on,on,on,16,7.81,10.71
07:03:13,TOI1842,1800.0,20220302.TOI1842.0022.fits,on,on,on,on,16,7.81,10.71
07:42:08,TOI1842,1800.0,20220302.TOI1842.0023.fits,on,on,on,on,16,7.81,10.71
08:21:10,TOI2123,1800.0,20220302.TOI2123.0024.fits,on,on,on,on,16,7.81,10.71
09:05:43,TOI2123,1800.0,20220302.TOI2123.0025.fits,on,on,on,on,16,7.81,10.71
09:44:39,TOI2123,1800.0,20220302.TOI2123.0026.fits,on,on,on,on,16,7.81,10.71
10:23:01,TIC349488688,1800.0,20220302.TIC349488688.0027.fits,on,on,on,on,16,7.81,10.71
11:05:48,TOI1842,1800.0,20220302.TOI1842.0028.fits,on,on,on,on,16,7.81,10.71
11:45:04,TOI2123,1800.0,20220302.TOI2123.0029.fits,on,on,on,on,16,7.81,10.71
12:21:22,HR5511,1109.0,20220302.HR5511.0030.fits,on,on,on,on,16,7.81,10.71
