Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:37:47,TOI1150_01,1200.0,20211031.TOI1150_01.0014.fits,on,on,0,0,21,8.0,11.27
01:58:24,TOI1150_01,1200.0,20211031.TOI1150_01.0015.fits,on,on,0,0,21,8.0,11.27
02:18:58,TOI1150_01,1200.0,20211031.TOI1150_01.0016.fits,on,on,0,0,21,8.0,11.27
02:39:33,TOI1150_01,1200.0,20211031.TOI1150_01.0017.fits,on,on,0,0,21,8.0,11.27
03:00:08,TOI1150_01,1200.0,20211031.TOI1150_01.0018.fits,on,on,0,0,21,8.0,11.27
03:28:11,TOI1150_01,1200.0,20211031.TOI1150_01.0019.fits,on,on,0,0,21,8.0,11.27
03:48:45,TOI1150_01,1200.0,20211031.TOI1150_01.0020.fits,on,on,0,0,21,8.0,11.27
04:09:20,TOI1150_01,1200.0,20211031.TOI1150_01.0021.fits,on,on,0,0,21,8.0,11.27
04:29:55,TOI1150_01,1200.0,20211031.TOI1150_01.0022.fits,on,on,0,0,21,8.0,11.27
04:50:29,TOI1150_01,1200.0,20211031.TOI1150_01.0023.fits,on,on,0,0,21,8.0,11.27
05:18:30,TOI1150_01,1200.0,20211031.TOI1150_01.0024.fits,on,on,0,0,21,8.0,11.27
05:39:05,TOI1150_01,1200.0,20211031.TOI1150_01.0025.fits,on,on,0,0,21,8.0,11.27
05:59:40,TOI1150_01,1200.0,20211031.TOI1150_01.0026.fits,on,on,0,0,21,8.0,11.27
06:20:14,TOI1150_01,1200.0,20211031.TOI1150_01.0027.fits,on,on,0,0,21,8.0,11.27
06:40:49,TOI1150_01,1200.0,20211031.TOI1150_01.0028.fits,on,on,0,0,21,8.0,11.27
07:20:25,TOI1518,1800.0,20211031.TOI1518.0029.fits,on,on,0,0,21,8.0,11.27
08:02:20,TOI1518,1800.0,20211031.TOI1518.0030.fits,on,on,0,0,21,8.0,11.27
08:44:07,TOI1518,1800.0,20211031.TOI1518.0031.fits,on,on,0,0,21,8.0,11.27
09:26:06,TOI1355,1800.0,20211031.TOI1355.0032.fits,on,on,0,0,21,8.0,11.27
10:07:33,HR2209,1800.0,20211031.HR2209.0033.fits,on,on,0,0,21,8.0,11.27
10:44:49,HD75732,1800.0,20211031.HD75732.0034.fits,on,on,0,0,21,8.0,11.27
