Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:50:01,TOI1518,1800.0,20220113.TOI1518.0015.fits,on,on,0,on,15,7.5,11.85
02:34:34,TOI1518,1800.0,20220113.TOI1518.0016.fits,on,on,0,on,15,7.5,11.85
03:19:05,TOI1518,1800.0,20220113.TOI1518.0017.fits,on,on,0,on,15,7.5,11.85
04:03:49,TOI1355,1800.0,20220113.TOI1355.0018.fits,on,on,0,on,15,7.5,11.85
05:02:46,HR2209,1800.0,20220113.HR2209.0019.fits,on,on,0,on,15,7.5,11.85
05:47:40,TOI431,1800.0,20220113.TOI431.0020.fits,on,on,0,on,15,7.5,11.85
06:32:30,HD16160,1800.0,20220113.HD16160.0021.fits,on,on,0,on,15,7.5,11.85
07:17:18,TOI568,1800.0,20220113.TOI568.0022.fits,on,on,0,on,15,7.5,11.85
08:01:51,TOI568,1800.0,20220113.TOI568.0023.fits,on,on,0,on,15,7.5,11.85
08:46:23,TOI568,1800.0,20220113.TOI568.0024.fits,on,on,0,on,15,7.5,11.85
09:30:54,TOI568,1800.0,20220113.TOI568.0025.fits,on,on,0,on,15,7.5,11.85
10:15:38,TOI680,1800.0,20220113.TOI680.0026.fits,on,on,0,on,15,7.5,11.85
11:00:12,TOI680,1800.0,20220113.TOI680.0027.fits,on,on,0,on,15,7.5,11.85
11:44:56,TOI2123,1800.0,20220113.TOI2123.0028.fits,on,on,0,on,15,7.5,11.85
12:29:45,TOI680,1800.0,20220113.TOI680.0029.fits,on,on,0,on,15,7.5,11.85
