Time,Object,Exposure Time,File Name,Telescope 1,Telescope 2,Telescope 3,Telescope 4,Spectra Obtained,Total Exposure Time (hrs),Observable Hours (hrs)
01:27:26,TOI1608_01,1200.0,20211220.TOI1608_01.0014.fits,on,on,0,0,22,9.33,12.01
01:48:02,TOI1608_01,1200.0,20211220.TOI1608_01.0015.fits,on,on,0,0,22,9.33,12.01
02:08:37,TOI1608_01,1200.0,20211220.TOI1608_01.0016.fits,on,on,0,0,22,9.33,12.01
02:29:12,TOI1608_01,1200.0,20211220.TOI1608_01.0017.fits,on,on,0,0,22,9.33,12.01
02:49:48,TOI1608_01,1200.0,20211220.TOI1608_01.0018.fits,on,on,0,0,22,9.33,12.01
03:16:37,TOI1608_01,1200.0,20211220.TOI1608_01.0019.fits,on,on,0,0,22,9.33,12.01
03:37:11,TOI1608_01,1200.0,20211220.TOI1608_01.0020.fits,on,on,0,0,22,9.33,12.01
03:57:46,TOI1608_01,1200.0,20211220.TOI1608_01.0021.fits,on,on,0,0,22,9.33,12.01
04:18:21,TOI1608_01,1200.0,20211220.TOI1608_01.0022.fits,on,on,0,0,22,9.33,12.01
04:38:56,TOI1608_01,1200.0,20211220.TOI1608_01.0023.fits,on,on,0,0,22,9.33,12.01
05:21:32,TOI1518,1800.0,20211220.TOI1518.0024.fits,on,on,0,0,22,9.33,12.01
05:59:59,TOI1518,1800.0,20211220.TOI1518.0025.fits,on,on,0,0,22,9.33,12.01
06:37:42,TOI1518,1800.0,20211220.TOI1518.0026.fits,on,on,0,0,22,9.33,12.01
07:16:44,HR2209,1800.0,20211220.HR2209.0027.fits,on,on,0,0,22,9.33,12.01
07:51:49,HD16160,1800.0,20211220.HD16160.0028.fits,on,on,0,0,22,9.33,12.01
08:27:14,HD62613,1800.0,20211220.HD62613.0029.fits,on,on,0,0,22,9.33,12.01
09:05:54,TOI991,1800.0,20211220.TOI991.0030.fits,on,on,0,0,22,9.33,12.01
09:44:06,TOI568,1800.0,20211220.TOI568.0031.fits,on,on,0,0,22,9.33,12.01
10:22:57,TOI1842,1800.0,20211220.TOI1842.0032.fits,on,on,0,0,22,9.33,12.01
11:01:08,TOI1842,1800.0,20211220.TOI1842.0033.fits,on,on,0,0,22,9.33,12.01
11:40:30,TOI1842,1800.0,20211220.TOI1842.0034.fits,on,on,0,0,22,9.33,12.01
12:18:59,TOI680,1800.0,20211220.TOI680.0035.fits,on,on,0,0,22,9.33,12.01
